3 21 22 33 47 | 2 9
21 24 29 30 50 | 1 5
10 18 32 35 46 | 3 10
15 18 19 41 42 | 4 6
7 20 35 42 44 | 3 7
2 4 20 21 49 | 9 10
6 11 38 41 44 | 9 10
3 8 30 46 48 | 1 3
31 32 45 47 49 | 7 9
31 36 40 42 45 | 7 9
1 15 34 48 50 | 6 10
18 25 26 35 38 | 5 6
20 27 37 41 45 | 1 7
8 23 40 41 42 | 2 10
7 8 20 35 38 | 5 9
10 12 35 36 43 | 2 5
8 26 38 47 50 | 3 7
20 27 33 35 46 | 5 9
5 7 15 19 29 | 3 8
19 3 42 10 9 | 1 7
#1 11 17 38 6 | 4 8
